reporting_period,entity,lhd,peer_group,attendances,pct_on_time,quarter_start,district_type
Apr-Jun 2012,Ballina,Northern NSW,District group 2,3806.0,69.0,2012-04-01,Regional
Apr-Jun 2012,Bankstown-Lidcombe,South Western Sydney,Principal referral,11768.0,65.4,2012-04-01,Metropolitan
Apr-Jun 2012,Bathurst,Western NSW,District group 1,6253.0,75.3,2012-04-01,Regional
Apr-Jun 2012,Belmont,Hunter New England,District group 1,6141.0,70.3,2012-04-01,Regional
Apr-Jun 2012,Blacktown,Western Sydney,Major,9342.0,69.1,2012-04-01,Metropolitan
Apr-Jun 2012,Blue Mountains,Nepean Blue Mountains,District group 2,4529.0,69.9,2012-04-01,Metropolitan
Apr-Jun 2012,Bowral,South Western Sydney,District group 1,4543.0,74.9,2012-04-01,Metropolitan
Apr-Jun 2012,Broken Hill,Far West,District group 1,5807.0,83.4,2012-04-01,Regional
Apr-Jun 2012,Calvary Mater,Hunter New England,Ungrouped acute - tertiary referral,8145.0,83.4,2012-04-01,Regional
Apr-Jun 2012,Campbelltown,South Western Sydney,Major,14358.0,74.0,2012-04-01,Metropolitan
Apr-Jun 2012,Canterbury,Sydney,Major,9273.0,48.4,2012-04-01,Metropolitan
Apr-Jun 2012,Casino,Northern NSW,District group 2,3955.0,56.5,2012-04-01,Regional
Apr-Jun 2012,Cessnock,Hunter New England,District group 2,4591.0,77.8,2012-04-01,Regional
Apr-Jun 2012,Children's at Westmead,Sydney Children's Hospitals Network,Paediatric specialist,13896.0,63.9,2012-04-01,Specialty network
Apr-Jun 2012,Coffs Harbour,Mid North Coast,Major,8614.0,72.7,2012-04-01,Regional
Apr-Jun 2012,Concord,Sydney,Principal referral,8962.0,79.1,2012-04-01,Metropolitan
Apr-Jun 2012,Dubbo,Western NSW,Major,7194.0,63.5,2012-04-01,Regional
Apr-Jun 2012,Fairfield,South Western Sydney,Major,8511.0,69.7,2012-04-01,Metropolitan
Apr-Jun 2012,Gosford,Central Coast,Principal referral,14380.0,66.4,2012-04-01,Metropolitan
Apr-Jun 2012,Goulburn,Southern NSW,District group 1,4472.0,53.3,2012-04-01,Regional
Apr-Jun 2012,Grafton,Northern NSW,District group 1,5502.0,69.4,2012-04-01,Regional
Apr-Jun 2012,Griffith,Murrumbidgee,District group 1,4732.0,74.2,2012-04-01,Regional
Apr-Jun 2012,Gunnedah,Hunter New England,District group 2,2546.0,72.1,2012-04-01,Regional
Apr-Jun 2012,Hawkesbury,Nepean Blue Mountains,District group 1,5395.0,64.3,2012-04-01,Metropolitan
Apr-Jun 2012,Hornsby,Northern Sydney,Major,8298.0,62.7,2012-04-01,Metropolitan
Apr-Jun 2012,Inverell,Hunter New England,District group 2,2636.0,73.1,2012-04-01,Regional
Apr-Jun 2012,John Hunter,Hunter New England,Principal referral,17582.0,66.9,2012-04-01,Regional
Apr-Jun 2012,Kempsey,Mid North Coast,District group 2,5244.0,80.9,2012-04-01,Regional
Apr-Jun 2012,Kurri Kurri,Hunter New England,District group 2,1856.0,86.9,2012-04-01,Regional
Apr-Jun 2012,Lismore,Northern NSW,Major,7319.0,65.7,2012-04-01,Regional
Apr-Jun 2012,Lithgow,Nepean Blue Mountains,District group 2,3280.0,88.9,2012-04-01,Metropolitan
Apr-Jun 2012,Liverpool,South Western Sydney,Principal referral,16876.0,62.1,2012-04-01,Metropolitan
Apr-Jun 2012,Maclean,Northern NSW,District group 2,2654.0,80.6,2012-04-01,Regional
Apr-Jun 2012,Maitland,Hunter New England,Major,11484.0,62.9,2012-04-01,Regional
Apr-Jun 2012,Manly,Northern Sydney,Major,6166.0,78.9,2012-04-01,Metropolitan
Apr-Jun 2012,Manning,Hunter New England,Major,6171.0,68.3,2012-04-01,Regional
Apr-Jun 2012,Milton,Illawarra Shoalhaven,District group 2,3408.0,78.9,2012-04-01,Metropolitan
Apr-Jun 2012,Mona Vale,Northern Sydney,Major,7858.0,72.4,2012-04-01,Metropolitan
Apr-Jun 2012,Moree,Hunter New England,District group 2,2274.0,85.8,2012-04-01,Regional
Apr-Jun 2012,Mount Druitt,Western Sydney,District group 1,8301.0,62.3,2012-04-01,Metropolitan
Apr-Jun 2012,Murwillumbah,Northern NSW,District group 1,3821.0,87.0,2012-04-01,Regional
Apr-Jun 2012,Muswellbrook,Hunter New England,District group 2,1966.0,81.9,2012-04-01,Regional
Apr-Jun 2012,Narrabri,Hunter New England,District group 2,1598.0,92.6,2012-04-01,Regional
Apr-Jun 2012,Nepean,Nepean Blue Mountains,Principal referral,14476.0,79.5,2012-04-01,Metropolitan
Apr-Jun 2012,Orange,Western NSW,Major,6966.0,77.4,2012-04-01,Regional
Apr-Jun 2012,Port Macquarie,Mid North Coast,Major,7857.0,70.8,2012-04-01,Regional
Apr-Jun 2012,Prince of Wales,South Eastern Sydney,Principal referral,11476.0,71.6,2012-04-01,Metropolitan
Apr-Jun 2012,Royal North Shore,Northern Sydney,Principal referral,15804.0,76.5,2012-04-01,Metropolitan
Apr-Jun 2012,Royal Prince Alfred,Sydney,Principal referral,17086.0,56.2,2012-04-01,Metropolitan
Apr-Jun 2012,Ryde,Northern Sydney,District group 1,6492.0,82.0,2012-04-01,Metropolitan
Apr-Jun 2012,Shellharbour,Illawarra Shoalhaven,District group 1,6690.0,64.2,2012-04-01,Metropolitan
Apr-Jun 2012,Shoalhaven,Illawarra Shoalhaven,Major,8650.0,66.3,2012-04-01,Metropolitan
Apr-Jun 2012,Singleton,Hunter New England,District group 2,3117.0,68.9,2012-04-01,Regional
Apr-Jun 2012,South East Regional,Southern NSW,District group 1,2726.0,74.4,2012-04-01,Regional
Apr-Jun 2012,St George,South Eastern Sydney,Principal referral,16866.0,55.9,2012-04-01,Metropolitan
Apr-Jun 2012,St Vincent's,St Vincent's Health Network,Principal referral,10651.0,78.2,2012-04-01,Specialty network
Apr-Jun 2012,Sutherland,South Eastern Sydney,Major,12156.0,67.7,2012-04-01,Metropolitan
Apr-Jun 2012,Sydney Children's Randwick,Sydney Children's Hospitals Network,Paediatric specialist,9931.0,61.8,2012-04-01,Specialty network
Apr-Jun 2012,Sydney and Sydney Eye,South Eastern Sydney,Ungrouped acute - tertiary referral,9053.0,94.8,2012-04-01,Metropolitan
Apr-Jun 2012,Tamworth,Hunter New England,Major,9794.0,72.4,2012-04-01,Regional
Apr-Jun 2012,Tweed Valley,Northern NSW,Major,10143.0,71.7,2012-04-01,Regional
Apr-Jun 2012,Wagga Wagga,Murrumbidgee,Major,8769.0,80.6,2012-04-01,Regional
Apr-Jun 2012,Westmead,Western Sydney,Principal referral,15020.0,66.8,2012-04-01,Metropolitan
Apr-Jun 2012,Wollongong,Illawarra Shoalhaven,Principal referral,14072.0,51.7,2012-04-01,Metropolitan
Apr-Jun 2012,Wyong,Central Coast,Major,14441.0,77.9,2012-04-01,Metropolitan
Apr-Jun 2013,Armidale,Hunter New England,District group 1,3927.0,75.8,2013-04-01,Regional
Apr-Jun 2013,Auburn,Western Sydney,Major,6288.0,71.0,2013-04-01,Metropolitan
Apr-Jun 2013,Ballina,Northern NSW,District group 2,3832.0,74.5,2013-04-01,Regional
Apr-Jun 2013,Bankstown-Lidcombe,South Western Sydney,Principal referral,11356.0,68.9,2013-04-01,Metropolitan
Apr-Jun 2013,Batemans Bay,Southern NSW,District group 2,3553.0,72.8,2013-04-01,Regional
Apr-Jun 2013,Bathurst,Western NSW,District group 1,5852.0,85.3,2013-04-01,Regional
Apr-Jun 2013,Belmont,Hunter New England,District group 1,6122.0,85.7,2013-04-01,Regional
Apr-Jun 2013,Blacktown,Western Sydney,Major,8998.0,81.2,2013-04-01,Metropolitan
Apr-Jun 2013,Blue Mountains,Nepean Blue Mountains,District group 2,4090.0,69.7,2013-04-01,Metropolitan
Apr-Jun 2013,Bowral,South Western Sydney,District group 1,4311.0,77.5,2013-04-01,Metropolitan
Apr-Jun 2013,Broken Hill,Far West,District group 1,5356.0,67.0,2013-04-01,Regional
Apr-Jun 2013,Calvary Mater,Hunter New England,Ungrouped acute - tertiary referral,8153.0,81.0,2013-04-01,Regional
Apr-Jun 2013,Campbelltown,South Western Sydney,Major,14515.0,77.2,2013-04-01,Metropolitan
